Rank,Type,ID,Molecule_Count
546,RefSeq,O60341,41
547,RefSeq,P08069,41
548,RefSeq,Q7L7X3,41
549,RefSeq,P41240,41
550,RefSeq,P53667,41
551,RefSeq,Q96RR4,41
552,RefSeq,P29323,41
553,RefSeq,Q56UN5,41
554,RefSeq,P16083,41
555,RefSeq,NP_003734,41
556,RefSeq,AAC63361,41
557,RefSeq,NP_068594,41
558,RefSeq,NP_001167549,41
559,RefSeq,Q9R1M7,40
560,RefSeq,Q8VHN2,40
561,RefSeq,Q9BUB5,40
562,RefSeq,Q9HC97,40
563,RefSeq,P07943,40
564,RefSeq,P34972,40
565,RefSeq,P51813,40
566,RefSeq,Q16512,40
567,RefSeq,P16591,40
568,RefSeq,NP_066285,40
569,RefSeq,CAA80661,40
570,RefSeq,NP_009330,40
571,RefSeq,NP_644806,40
572,RefSeq,YP_003708382,40
573,RefSeq,P30556,39
574,RefSeq,P17252,39
575,RefSeq,Q8WWL7,39
576,RefSeq,Q14289,39
577,RefSeq,Q9UK32,39
578,RefSeq,Q92918,39
579,RefSeq,P54764,39
580,RefSeq,Q8TBX8,39
581,RefSeq,Q8C6L5,39
582,RefSeq,NP_006083,39
583,RefSeq,AAB23646,39
584,RefSeq,NP_217253,39
585,RefSeq,AAG43493,39
586,RefSeq,NP_001091683,38
587,RefSeq,Q92630,38
588,RefSeq,P31749,38
589,RefSeq,P22002,38
590,RefSeq,Q96RI1,38
591,RefSeq,P53671,38
592,RefSeq,P42680,38
593,RefSeq,ABD72211,38
594,RefSeq,NP_001121649,38
595,RefSeq,NP_001041666,38
596,RefSeq,NP_000428,38
597,RefSeq,AAI43360,38
598,RefSeq,O15296,38
599,RefSeq,NP_001370,38
600,RefSeq,EAW58811,38
601,RefSeq,Q9Y463,37
602,RefSeq,Q05655,37
603,RefSeq,Q9NY46,37
604,RefSeq,P18901,37
605,RefSeq,P21709,37
606,RefSeq,P48729,37
607,RefSeq,NP_000855,37
608,RefSeq,Q13043,37
609,RefSeq,O75460,37
610,RefSeq,Q16584,37
611,RefSeq,NP_006209,37
612,RefSeq,Q9NPD5,37
613,RefSeq,NP_003989,37
614,RefSeq,NP_652928,37
615,RefSeq,NP_003339,37
616,RefSeq,P53350,36
617,RefSeq,Q07343,36
618,RefSeq,Q15139,36
619,RefSeq,P54619,36
620,RefSeq,O00238,36
621,RefSeq,P36896,36
622,RefSeq,P14902,36
623,RefSeq,Q15303,36
624,RefSeq,NP_004110,36
625,RefSeq,NP_003812,36
626,RefSeq,NP_005017,36
627,RefSeq,CAA81943,36
628,RefSeq,2HDS_A,36
629,RefSeq,AAH04460,36
630,RefSeq,P51946,35
631,RefSeq,NP_057658,35
632,RefSeq,P56817,35
633,RefSeq,NP_055535,35
634,RefSeq,P23443,35
635,RefSeq,Q13936,35
636,RefSeq,Q8IVH8,35
637,RefSeq,Q9Y616,35
638,RefSeq,P27448,35
639,RefSeq,O96013,35
640,RefSeq,2LM5_A,35
641,RefSeq,AAC03365,35
642,RefSeq,NP_006333,35
643,RefSeq,NP_602296,35
644,RefSeq,AAH32638,35
645,RefSeq,NP_005604,35
646,RefSeq,Q04759,34
647,RefSeq,NP_000902,34
648,RefSeq,P21918,34
649,RefSeq,NP_001075445,34
650,RefSeq,P19020,34
651,RefSeq,P02766,34
652,RefSeq,P35563,34
653,RefSeq,Q8TDU6,34
654,RefSeq,Q9UHD2,34
655,RefSeq,Q9UBF8,34
656,RefSeq,P54756,34
657,RefSeq,Q8N4C8,34
658,RefSeq,NP_002640,34
659,RefSeq,P67870,34
660,RefSeq,NP_057851,34
661,RefSeq,AAR18078,34
662,RefSeq,CAA41086,34
663,RefSeq,AAI51237,34
664,RefSeq,Q9D6N1,33
665,RefSeq,NP_000666,33
666,RefSeq,Q92793,33
667,RefSeq,P32249,33
668,RefSeq,O75676,33
669,RefSeq,NP_000854,33
670,RefSeq,P37173,33
671,RefSeq,Q16288,33
672,RefSeq,O42275,33
673,RefSeq,O43318,33
674,RefSeq,NP_002600,33
675,RefSeq,Q04912,33
676,RefSeq,NP_000302,33
677,RefSeq,Q9HAT2,33
678,RefSeq,CAA62974,33
679,RefSeq,1JY1_A,33
680,RefSeq,NP_214572,33
681,RefSeq,AEL63844,33
682,RefSeq,Q58F21,32
683,RefSeq,P18507,32
684,RefSeq,P49137,32
685,RefSeq,Q9JJ16,32
686,RefSeq,P31652,32
687,RefSeq,XP_843920,32
688,RefSeq,O95271,32
689,RefSeq,Q00024,32
690,RefSeq,O75385,32
691,RefSeq,NP_000907,32
692,RefSeq,O14578,32
693,RefSeq,Q26304,32
694,RefSeq,AAH17351,32
695,RefSeq,AAB69001,32
696,RefSeq,NP_002810,32
697,RefSeq,AAI02981,32
698,RefSeq,O75716,31
699,RefSeq,P05979,31
700,RefSeq,P34913,31
701,RefSeq,P22694,31
702,RefSeq,P14780,31
703,RefSeq,P14618,31
704,RefSeq,Q07820,31
705,RefSeq,P08922,31
706,RefSeq,NP_958441,31
707,RefSeq,Q7KZI7,31
708,RefSeq,NP_006210,31
709,RefSeq,Q8N884,31
710,RefSeq,Q15746,31
711,RefSeq,NP_492143,31
712,RefSeq,Q72547,31
713,RefSeq,Q8N1Q1,30
714,RefSeq,Q99N23,30
715,RefSeq,NP_000905,30
716,RefSeq,P49761,30
717,RefSeq,P05067,30
718,RefSeq,P49336,30
719,RefSeq,NP_005903,30
720,RefSeq,Q14164,30
721,RefSeq,P08253,30
722,RefSeq,O00519,30
723,RefSeq,Q9H2K2,30
724,RefSeq,C7FF05,30
725,RefSeq,C7FF04,30
726,RefSeq,Q08881,30
727,RefSeq,P24666,30
728,RefSeq,P29320,30
729,RefSeq,P07332,30
730,RefSeq,NP_076917,30
731,RefSeq,NP_612815,30
732,RefSeq,AAH94064,30
733,RefSeq,NP_001019265,30
734,RefSeq,NP_113735,30
735,RefSeq,AAH66928,30
736,RefSeq,P29276,29
737,RefSeq,P0C6X7,29
738,RefSeq,Q9NYV4,29
739,RefSeq,Q13164,29
740,RefSeq,Q08493,29
741,RefSeq,NP_000862,29
742,RefSeq,Q7ZJM1,29
743,RefSeq,Q9UGN5,29
744,RefSeq,P31389,29
745,RefSeq,Q06418,29
746,RefSeq,P42330,29
747,RefSeq,NP_005202,29
748,RefSeq,Q15375,29
749,RefSeq,O14757,29
750,RefSeq,P00784,29
751,RefSeq,Q9Y2K2,29
752,RefSeq,NP_068810,29
753,RefSeq,AAK17196,29
754,RefSeq,AAH32261,29
