ID,SMILES,P_act,STRENGTH,P_tox_0,P_tox_1,P_tox_2
T19049,Nc1c(S(=O)(=O)O)cc(Nc2ccc(N=c3[nH]c(Cl)nc(=Nc4cccc(S(=O)(=O)O)c4)[nH]3)c(S(=O)(=O)O)c2)c2c1C(=O)c1ccccc1C2=O,0.8213287,0.27523792,0.29236388,0.20320442,0.5044317
T11938,Cl.Nc1cc(CN2CCOCCOCCN(Cc3cccc(C(=O)O)n3)CCOCCOCC2)nc(C(=O)O)c1,0.5873575,0.0746192,0.17713761,0.0118941935,0.8109682
T17101,O=C(O)Cc1ccc2c(c1)SCc1ccccc1C2=O,0.59928674,0.10243675,0.24416672,0.011917479,0.7439158
T23040,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O,0.5073413,0.16300043,0.42084026,0.023619337,0.5555404
T23542,CC1=C(C#N)C(=C(C#N)C#N)OC1(C)c1ccc(Cl)c(Cl)c1,0.7206591,0.14801833,0.27501798,0.14073321,0.5842488
T19941,O=C(ON1C(=O)CCC1=O)c1cccc(N2C(=O)C=CC2=O)c1,0.74132955,0.13827921,0.19823106,0.06669129,0.7350777
T20024,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O,0.7674191,0.195979,0.36196634,0.09491204,0.54312164
T25102,CNC(=S)[C@]1(c2cccnc2)CCCC[S@]1=O,0.59525955,0.1446482,0.33357728,0.18995637,0.47646633
T27446,Cc1cc(F)c2[nH]c(=O)n(C3CCN(C4CCOCC4)CC3)c2c1,0.7650943,0.1823368,0.35216406,0.07468715,0.5731488
T28926,CC(C)NC(=O)Cn1c(-c2ccc(F)c(Cl)c2)nc2ncc(OCCCN3CCOCC3)cc2c1=O.Cl,0.69312054,0.31332985,0.36193597,0.16771062,0.47035334
T29061,O=C1CCc2ccc(OCCCCN3CCCN(c4cccc(Cl)c4Cl)CC3)cc2N1,0.8621994,0.3503318,0.327226,0.27552056,0.39725342
T29261,Oc1cc2c(cc1Cl)CCNC[C@@H]2c1cccc2ccoc12,0.81213176,0.14535825,0.22337152,0.081608176,0.6950203
