name,smiles,MW,LogP,TPSA,HBD,HBA,RotB,Lipinski_violations,max_tc,best_match,best_target
TYD-02007,Cc1ccc(S(=O)(=O)CC(CS(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(C(=O)O)cc2)cc1,500.59,3.75,122.6,1,6,9,1,0.1613,BI-1467335,AOC3/VAP-1
T6664,COc1nc(-c2ccc3c(c2)OCO3)n(-c2ccc(NC(=O)CSc3ccccc3)cc2)n1,460.52,4.4,87.5,1,7,7,0,0.1610,Firsocostat (GS-0976),ACC
T9472,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)OCCN1CCOCC1)c1ccc(Cl)cc1,483.95,2.4,100.7,2,6,8,0,0.1610,Firsocostat (GS-0976),ACC
T13747,COc1ccc2c(Cc3ccccc3F)c3n(c(=O)c2c1OC)CCc1cc2c(cc1-3)OCO2,459.47,4.7,58.9,0,5,4,0,0.1610,Firsocostat (GS-0976),ACC
T66580,CCOc1nc2cccc(C(=O)OC)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,470.49,4.28,112.2,1,7,7,0,0.1610,Firsocostat (GS-0976),ACC
T62304,CCCC[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cnc(N2CCN(C)CC2)s1,425.6,3.91,64.3,2,5,8,0,0.1610,Firsocostat (GS-0976),ACC
T38599,Cc1nc2[nH]nc(C)n2c(=O)c1CC(=O)Nc1ncc(Cc2ccccc2F)s1,412.45,2.4,105.0,2,6,5,0,0.1610,Firsocostat (GS-0976),ACC
T3357,CCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,402.53,3.77,80.7,1,5,4,0,0.1609,Obeticholic acid (OCA),FXR
T4380,COCCNC(=O)Nc1ccc2nc(-c3cccs3)c(-c3cccs3)nc2c1,410.52,4.85,76.1,2,6,6,0,0.1609,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T6584,CCCCCCCc1ccc(CCc2cccc(O)c2C(=O)O)cc1,340.46,5.39,57.5,2,2,10,1,0.1609,VK2809,THR-beta
