ID,SMILES,MolWt
T0204,CNCCCC1c2ccccc2C=Cc2ccccc21.Cl,299.84
T0205,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,435.32
T0207,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1.Cl.Cl,500.47
T0208,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+],484.39
T0209,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1.Cl,513.51
T0210,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1.Cl,444.98
T0211,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,381.91
T0211L,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1.Cl,418.37
T0212,CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,354.45
T0213,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,258.23
T0214,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,356.45
T0214L,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1.Cl,392.91
T0215,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1.[K+],461.01
T0215L,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,422.92
T0216,Br.CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,463.44
T0217,OC[C@@H](O)CN1CCN(c2ccccc2)CC1,236.32
T0219,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,314.37
T0220,O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],191.95
T0221,O=C(O)C1CSCN1,133.17
T0222,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N.Cl,330.86
T0223,O=C1C(O)=C(O)C(=O)C(O)=C1O,172.09
T0224,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)C12,383.47
T0225,CN1CCC(=C2c3ccccc3CCc3sccc32)CC1.O=C(O)CC(O)C(=O)O,429.54
T0226,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1.Cl,343.90
T0227,CC(C)C(Br)C(=O)NC(N)=O,223.07
T0228,COc1ccc([C@@H]2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1OC,624.59
T0230,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,373.45
T0231,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,567.06
T0235,Cc1nccnc1N1CCCCC1.O=S(=O)(O)O,275.33
T0236,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,522.55
T0237,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,663.08
T0238,CC(=O)Oc1c(C)cccc1C(=O)O,194.19
T0239,O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12,321.16
T0240,COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,281.31
T0241,NC(=O)NS(=O)(=O)c1ccc(N)cc1,215.23
T0242,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,407.32
T0243,COc1cc(C(=S)N2CCOCC2)ccc1O,253.32
T0244,CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2.Cl.Cl,483.48
T0246,CNCCc1ccccn1.Cl.Cl,209.12
T0246L,CNCCc1ccccn1.CS(=O)(=O)O.CS(=O)(=O)O,328.41
T0247,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,645.61
T0248,CC(C)NCC(O)c1ccccc1Cl.Cl,250.17
T0249,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,277.37
