Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Cell Differentiation (GO:0045597),2/283,0.0067263729868842,0.0188618438624662,0,0,20.040671072699546,100.23780954000122,PPARG;PPARD
GO_Biological_Process_2023,Regulation Of miRNA-mediated Gene Silencing (GO:0060964),1/15,0.0067310464938694,0.0188618438624662,0,0,178.36607142857142,892.013120036697,PPARG
GO_Biological_Process_2023,Cell Surface Toll-Like Receptor Signaling Pathway (GO:0140895),1/16,0.007178349711373,0.0188618438624662,0,0,166.46666666666667,821.7936241053455,NR1H4
GO_Biological_Process_2023,Regulation Of Steroid Biosynthetic Process (GO:0050810),1/16,0.007178349711373,0.0188618438624662,0,0,166.46666666666667,821.7936241053455,NR1H4
GO_Biological_Process_2023,Cellular Response To Fatty Acid (GO:0071398),1/16,0.007178349711373,0.0188618438624662,0,0,166.46666666666667,821.7936241053455,NR1H4
GO_Biological_Process_2023,Regulation Of Fatty Acid Oxidation (GO:0046320),1/16,0.007178349711373,0.0188618438624662,0,0,166.46666666666667,821.7936241053455,PPARA
GO_Biological_Process_2023,Cellular Response To Nitrogen Compound (GO:1901699),1/16,0.007178349711373,0.0188618438624662,0,0,166.46666666666667,821.7936241053455,NR1H4
GO_Biological_Process_2023,Negative Regulation Of Biosynthetic Process (GO:0009890),1/16,0.007178349711373,0.0188618438624662,0,0,166.46666666666667,821.7936241053455,PPARA
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),4/1922,0.0072097395458847,0.0188618438624662,0,0,7.538269030239833,37.18117358969303,NR1H4;PPARG;PPARA;PPARD
GO_Biological_Process_2023,Regulation Of Receptor Signaling Pathway Via STAT (GO:1904892),1/17,0.0076254739654265,0.0189903630485141,0,0,156.0546875,760.9633551596094,PPARG
GO_Biological_Process_2023,Toll-Like Receptor 4 Signaling Pathway (GO:0034142),1/17,0.0076254739654265,0.0189903630485141,0,0,156.0546875,760.9633551596094,NR1H4
GO_Biological_Process_2023,Positive Regulation Of SMAD Protein Signal Transduction (GO:0060391),1/17,0.0076254739654265,0.0189903630485141,0,0,156.0546875,760.9633551596094,PPARG
GO_Biological_Process_2023,Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706),1/17,0.0076254739654265,0.0189903630485141,0,0,156.0546875,760.9633551596094,PPARG
GO_Biological_Process_2023,Positive Regulation Of Fatty Acid Metabolic Process (GO:0045923),1/17,0.0076254739654265,0.0189903630485141,0,0,156.0546875,760.9633551596094,PPARA
GO_Biological_Process_2023,Regulation Of Vascular Endothelial Cell Proliferation (GO:1905562),1/18,0.0080724193100501,0.019911967631457,0,0,146.86764705882354,707.7995527019895,PPARG
GO_Biological_Process_2023,Positive Regulation Of Hormone Secretion (GO:0046887),1/19,0.0085191858003351,0.0204302696508036,0,0,138.70138888888889,660.9723846479391,PPARG
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903038),1/19,0.0085191858003351,0.0204302696508036,0,0,138.70138888888889,660.9723846479391,PPARA
GO_Biological_Process_2023,Response To Fatty Acid (GO:0070542),1/19,0.0085191858003351,0.0204302696508036,0,0,138.70138888888889,660.9723846479391,NR1H4
GO_Biological_Process_2023,Positive Regulation Of Lipid Catabolic Process (GO:0050996),1/20,0.0089657734963174,0.0209201381580739,0,0,131.39473684210526,619.439581424405,PPARA
GO_Biological_Process_2023,Monocarboxylic Acid Catabolic Process (GO:0072329),1/20,0.0089657734963174,0.0209201381580739,0,0,131.39473684210526,619.439581424405,PPARD
