ID,SMILES,MolWt
T10733,CCNC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,518.74
T1075,CC1=C(C/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,450.71
T10756,CCCCOCCOc1ccc(-c2ccc3c(c2)/C=C(/C(=O)Nc2ccc(S(=O)Cc4cncn4CCC)cc2)CCCN3CC(C)C)cc1.CS(=O)(=O)O,793.06
T10767,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+],481.54
T1077,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1.O=C(O)/C=C\C(=O)O,434.41
T10775,CC1CCN(c2ccc(CO)cc2NC(=O)c2ccc(C#N)o2)CC1,339.40
T1077L,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,318.34
T10785,COc1cc(/C=C/C(=O)c2ccc(Cl)cc2)ccc1O.O,306.75
T10791,CNc1nc(Nc2cnc(C#N)c(O[C@@H]3CCCNC3)c2)ncc1-c1cnn(C)c1,405.47
T10792L,COc1cc(Br)cc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1.Cl,480.75
T10800,CN1CCN(Cc2ccc(NC(=O)CCSc3ccc4c(/C=C/c5ccccn5)n[nH]c4c3)cc2C(F)(F)F)CC1,580.68
T10803,O=C(CC(=O)Nc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1)Nc1cccc(F)c1,415.43
T10815,O=C(O)CNC(=O)/C=C/c1ccccc1,205.21
T10824,O=C(O)/C=C\c1cnc[nH]1,138.13
T10865,N#Cc1cnc2c(Cl)cc(NCc3cn(CCN4CCCCCC4)nn3)cc2c1Nc1ccc(F)c(Cl)c1,553.47
T10865L,Cl.N#Cc1cnc2c(Cl)cc(NCc3cn(CCN4CCCCCC4)nn3)cc2c1Nc1ccc(F)c(Cl)c1,589.93
T10866,CCN1CCC(n2cc(CNc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)nn2)CC1,539.45
T10872L,Cc1nc2cnccc2n1-c1ccc(OCc2cccc(/C=C/c3nc4cc(F)ccc4s3)c2)cc1,492.58
T10883,CN(C)CCOc1ccc2[nH]c(C(=O)NCC#Cc3ccc(C(=O)NO)cc3)cc2c1,420.47
T10883L,CN(C)CCOc1ccc2[nH]c(C(=O)NCC#Cc3ccc(C(=O)NO)cc3)cc2c1.Cl,456.93
T10886,COC(=O)/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C(=O)OC,356.46
T1096,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,211.22
T10960,CC(C)(C)c1cc(/C=C2\SC(N)=NC2=O)cc(C(C)(C)C)c1O,332.47
T10960L,CC(C)(C)c1cc(/C=C2\SC(N)=NC2=O)cc(C(C)(C)C)c1O.CS(=O)(=O)O,428.58
T10961,CN1CCN(C(=O)/C=C2/c3ccccc3NC(=O)c3ccccc32)CC1,347.42
T10965,CN(C)C/C=C/C(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,533.63
T1102,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,429.60
T11020,N#C/C(=N\O)C(=O)Nc1ccc(-c2ccccc2)cc1,265.27
T11021,Cc1ccc(NC(=O)/C(C#N)=N/O)cc1,203.20
T11027,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)cc1Cl,347.20
T11030,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)cc1,312.76
T11053,O=C(/C=C\Nc1cccc([N+](=O)[O-])c1)c1ccccc1,268.27
T11060,C/C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)[C@H](CN(C)C)[C@@H]2CC1,293.41
T11071,O=C(C(c1ccccc1)c1ccccc1)N1CCN(CC(O)COc2cccc3ncccc23)CC1.O=C(O)/C=C/C(=O)O,597.67
T11079,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)NCCc1ccc(O)c(O)c1,463.66
T11086,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(C[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC.[Cl-],698.56
T1109,COc1cc(CNC(=O)CCCC/C=C\C(C)C)ccc1O,305.42
T11090L1,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(/C(CO)=N/NC(=O)CCCCCN1C(=O)C=CC1=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl,787.22
T11098,CC/C(=C(/c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1,387.52
T11101,CC1(C)N=C(C2CCCCC2)c2ccc(C#N)cc2N(c2ccc(NCCNC3CCOCC3)cc2)C1=O,513.69
T1111,C[n+]1ccccc1/C=N/O.[Cl-],172.62
T11110,N#Cc1nc2c(nc1C#N)-c1ccccc1/C2=N\OCc1ccccc1,337.34
T11111,CCO/N=C1\c2ccccc2-c2nc(C#N)c(C#N)nc21,275.27
T11112,C=CCO/N=C1\c2ccccc2-c2nc(C#N)c(C#N)nc21,287.28
T11137,CC(C)(C)c1cc(/C=C/C(=O)C(=O)O)cc(C(C)(C)C)c1O,304.39
T11138L,CC(C)Oc1ccc(-n2cnc3cc(/C=C\c4ccc(C(C)(C)O)cc4)ccc32)cc1,412.53
T11150,COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H]2[C@H]2c3c(cc(C)c(OC)c3O)C[C@@H]([C@@H]1C#N)N2C)OCO4,770.86
T1117,C#CCN(C)CCCOc1ccc(Cl)cc1Cl.Cl,308.64
T11170,Cc1c(C(=O)N2CCN(C(=O)c3ccc(Br)cc3)[C@@H](c3ccc(Cl)cc3)C2)cnn1-c1cccc(C#N)c1,588.89
T1119,C#CCN[C@@H]1CCc2ccccc21,171.24
T11209,CCCC(NC(=O)/C(C#N)=C/c1nc(Cl)ccc1Cl)c1ccc(OCCN2CCOCC2)cc1,503.43
T11213,CC#C/C(=N\OC[C@H]1COCCN1)c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1.Cl,596.49
T11217,CN(C)CCO/N=C(/C=C/c1ccc(O)cc1)c1ccccc1F,328.39
T11218,Oc1ccc(/C=C/c2cc(O)cc3c2[C@@H](c2cc(O)cc(O)c2)[C@H](c2ccc(O)cc2)O3)cc1,454.48
T11234,Cc1ccc(C)c(CSc2nc(=O)c(C#N)c(C3CCCCC3)[nH]2)c1,353.49
T11263,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1ccnc2ccc(OCCCN3CCN(C(=O)CN4CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC4)CC3)cc12,836.95
T11282,Cn1cncc1CN(CCN(CC1CCCCC1)S(=O)(=O)c1ccccn1)c1ccc(C#N)cc1F,510.64
T11284,CN(C)c1ccc(/C=C/c2c(F)cccc2F)cc1,259.30
T11297L,CCCNc1nc(Nc2ccc(C#N)cc2)ncc1C#CCCCNC(=O)[C@H](C)N(C)C(=O)/C=C/CN(C)C,530.68
T11307,CO/N=C/NC(=O)c1ccc(C2=NOC(c3cc(Cl)cc(Cl)c3)(C(F)(F)F)C2)cc1C,474.27
T11309,CN(C)C/C=C/C(=O)Nc1cccc(S(=O)(=O)N2CCC(NC(=O)c3n[nH]cc3NC(=O)c3c(Cl)cc(Cl)cc3Cl)CC2)c1,683.02
T11321,CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OCC(C)(C)OCc2ccsc2)c1,439.67
