name,smiles,max_tc,DrugCLIP_Target,DrugCLIP_Score,active_score,toxicity_score,recommend_score
T16998,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@]1([H])[C@@H](O)C2,0.472200,PPARG,0.441700,0.055151,0.698350,0.016636
T13502,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0.469700,NR1H3,0.309800,0.029575,0.819678,0.005333
T5352,[H][C@@]12CCC3C[C@H](O)CC[C@]3(C)[C@@]1([H])C[C@H](O)[C@]1(C)[C@@H]([C@H](C)CCC(=O)NCC(=O)O)CC[C@]12[H],0.469100,PPARG,0.283000,0.061373,0.539127,0.028285
TMIH-0182,[2H]C1([2H])C[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@H](O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]32)C([2H])([2H])[C@@H]1O,0.468400,NR1H3,0.390900,0.052024,0.542422,0.023805
T6993,C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.465800,PPARG,0.462600,0.052921,0.759214,0.012743
T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,0.465800,PPARG,0.318600,0.115418,0.456856,0.062688
T207843,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@@H](OS(=O)(=O)O)C2,0.463400,PPARG,0.338600,0.049186,0.688266,0.015333
T64334,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)NCC(=O)[O-])[C@@]1(C)CC[C@@H](O)C2,0.457100,PPARG,0.198700,0.036916,0.789664,0.007765
TN2215,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)NCCS(=O)(=O)[O][Na])CC[C@@]3([H])[C@]1([H])[C@H](O)C2,0.447400,PPARG,0.465300,0.062468,0.625017,0.023424
T32798,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)ON3C(=O)CCC3=O)[C@@]1(C)CC[C@@H](O)C2,0.438400,RXRG,0.202000,0.044286,0.738618,0.011576
T34788,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@@H](O)C2,0.438400,PPARG,0.457300,0.058503,0.619110,0.022283
T17181,COCc1nc(C(F)(F)F)[nH]c1-c1cc(C(=O)N2CC(c3ccc(C#N)cc3)C2)c(C)cc1C,0.435300,AOC3,0.332500,0.288422,0.532824,0.134744
T4727,C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.432400,PPARG,0.430900,0.043493,0.784682,0.009365
T5077,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,0.430400,NR1H3,0.365500,0.033894,0.847886,0.005156
T5254,C[C@H](CCC(=O)NCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,0.428600,PPARG,0.340800,0.043627,0.750866,0.010869
