ID,SMILES,CID,MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
T2688,CC1(C)C(=O)N(CCN2CCC(C(=O)c3ccc(F)cc3)CC2)c2ccccc21.Cl,11957576,C24H28ClFN2O2,430.9,,40.6,606,1,4,5
T2689,COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc2c(n1)n(C1CCCC1)c(=O)n2C,56973724,C24H32N6O3,452.5,3.2,83.1,669,1,7,6
T2690,COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1OC,5527,C18H17NO5,327.3,3.2,84.9,464,2,5,6
T2692,CN[C@@H]1C(=O)N[C@@H]2Cc3ccc(cc3)Oc3cc4cc(c3O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3NC(=O)CCCCCCCCC(C)C)Oc3ccc(cc3Cl)[C@@H](O)[C@@H]3NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@@H](NC2=O)c2cc(cc(O)c2Cl)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc(O)cc1[C@@H](C(=O)O)NC3=O,133640193,C83H88Cl2N8O29,1732.5,3.7,577,3600,21,30,18
T2694,CN([C@@H](Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N1CCN(c2ccccc2)CC1)S(=O)(=O)c1cccc2cnccc12,5312126,C38H35N5O6S2,721.8,5.6,147,1370,0,10,10
T2695,Brc1c(Br)c(Br)c2n[nH]nc2c1Br,1694,C6HBr4N3,434.71,3.8,41.6,184,1,2,0
T2696,Cl.NC(=O)c1cnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1,56948527,C19H24ClN9O,429.9,,150,544,5,8,6
T2697,COc1ccc(S(=O)(=O)N(CCO)c2ccccc2CN(C)CC=Cc2ccc(Cl)cc2)cc1,3837,C26H29ClN2O4S,501.0,4.5,78.5,713,1,6,11
T2698,CC1(C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,14284436,C47H76O18,929.1,0.8,295,1770,11,18,10
T2700,COC(=O)[C@H](CCSC)NC(=O)c1ccc(NC[C@@H](N)CS)cc1-c1ccccc1.Cl,88309922,C22H30ClN3O3S2,484.1,,120,532,5,7,12
T2701,CC(C)c1noc(N2CCC(COc3ccc(-c4ccc(S(C)(=O)=O)cc4)nc3)CC2)n1,24996872,C23H28N4O4S,456.6,4,107,685,0,8,7
T2702,Cc1ccc2nc(NC(=O)CSc3nc4c(c(=O)n3-c3ccccc3)SCC4)sc2c1,2155128,C22H18N4O2S3,466.6,4.8,154,796,1,7,5
T2703,O=S(=O)(Nc1ccccc1)c1ccc(NC(=S)Nc2ccccc2)cc1,3421033,C19H17N3O2S2,383.5,3.7,111,542,3,4,5
T2704,Cc1ncc(CCCN(C)C)cc1Nc1ncc2c(n1)-c1ccc(C(F)(F)F)cc1NC(=S)C2,46235922,C24H25F3N6S,486.6,4.1,98.1,692,2,9,6
T2705,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,78357783,C27H30ClN7O2,520.0,4.4,98.4,758,3,7,10
T2706,COc1ccc(COc2cc3oc(=O)c4cc(C(C)O)ccc4c3cc2OC)cc1,11998575,C24H22O6,406.4,4,74.2,574,1,6,6
T2707,Br.Cc1ccc(C(=O)Cn2c3c(sc2=N)CCCC3)cc1,9929138,C16H19BrN2OS,367.3,,69.5,449,2,3,3
T2709,CCS(=O)(=O)c1cccc(-c2cc(C(=O)NC3CCN(C)CC3)c(C)c3[nH]c4ncc(C)cc4c23)c1,16124208,C28H32N4O3S,504.6,4.5,104,884,2,5,5
T2710,Cn1c(SCC(=O)N2CCC[C@H]2C(=O)Nc2ccccc2-c2ccccc2)nc2ccccc21,11960895,C27H26N4O2S,470.6,4.9,92.5,715,1,4,6
T2711,CCC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,2873523,C19H23N5O3,369.4,2.2,87.5,590,1,4,5
T2712,Cl.Cn1c(NCCN(CCO)CCCc2ccc([N+](=O)[O-])cc2)cc(=O)n(C)c1=O,122188,C19H28ClN5O5,441.9,,122,613,3,7,10
T2713,O.O.O.O.OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](O[C@]4(CO)O[C@H](CO)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,2724335,C24H50O25,738.6,,352,933,18,25,11
T2715,C[C@@H]1O[C@H]2O[C@H]3[C@@H](OC[C@H](O)[C@@H]3O)OC(=O)[C@]34CCC(C)(C)C[C@H]3C3=CC[C@@H]5[C@@]6(C)C[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O[C@@H]7OC[C@H](OC(=O)C[C@](C)(O)CC(=O)O[C@@H]1[C@@H](O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O)[C@H]2O)[C@H](O)[C@H]7O)[C@@](C)(CO)[C@@H]6CC[C@@]5(C)[C@]3(C)CC4,5462420,C63H98O29,1319.4,-1.8,445,2700,14,29,4
T2716,O=C(Nc1ccccc1)Nc1ccccc1,7595,C13H12N2O,212.25,3,41.1,196,2,1,2
T2717,OC[C@H]1O[C@@H](OCCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,159278,C14H20O7,300.30,-0.6,120,306,5,7,5
T2718,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.[Cl-],73442,C21H22ClNO4,387.9,,40.8,475,0,5,4
T2719,O=C(O)CCC(=O)O,1110,C4H6O4,118.09,-0.6,74.6,92,2,4,3
T2720,CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,12855889,C53H90O22,1079.3,0.9,357,1950,14,22,16
T2721,C[C@@H]1CC[C@@]2(OC1)O[C@H]1[C@@H](O)[C@H]3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,6474107,C56H92O29,1229.3,-3.9,455,2230,17,29,14
T2722,Cc1nc(C)c(C)nc1C,14296,C8H12N2,136.19,1.3,25.8,87,0,2,0
T2723,CC1=CC(=O)CC(C)(C)C1=O,62374,C9H12O2,152.19,1,34.1,246,0,2,0
T2724,C=C1CC[C@H]2O[C@]2(C)CC[C@@H]2[C@@H]1CC2(C)C,1742210,C15H24O,220.35,3.6,12.5,330,0,1,0
T2726,COC1=C[C@@H]2[C@@H]3Cc4ccc(OC)c(O)c4[C@]2(CCN3C)CC1=O,5459308,C19H23NO4,329.4,2.2,59,562,1,5,2
T2728,CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]2CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]54[C@]2(C)C(=O)C[C@@H]13,179651,C26H30O8,470.5,1.8,105,1010,0,8,1
T2729,COc1cc2ccc(=O)oc2cc1OC,8417,C11H10O4,206.19,1.9,44.8,274,0,4,2
T2731,CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)C12C,5646,C18H16O7,344.3,1.4,118,708,2,7,2
T2732,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,107905,C22H18O10,442.4,1.5,177,649,7,10,4
T2735,CC(=O)c1ccc(O)c(C(=O)O)c1,83151,C9H8O4,180.16,2.2,74.6,224,2,4,2
T2736,O=C([O-])C1C2CCC(O2)C1C(=O)O.[Na+],137967119,C8H9NaO5,208.14,,86.7,266,1,5,2
T2737,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc3O2)cc1O,442439,C28H34O15,610.6,-0.5,234,940,8,15,7
T2739,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,8742,C7H10O5,174.15,-1.7,98,222,4,5,1
T2741,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,14982,C42H62O16,822.9,3.7,267,1730,8,16,7
T2743,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,132519,C20H28N4O4,388.5,0.9,123,554,5,4,9
T2744,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,10960835,C25H42O5,422.6,3.9,87,651,3,5,5
T2745,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,73398,C30H46O4,470.7,6.4,74.6,965,2,4,1
T2747,O=C(O)C1C2CCC(O2)C1C(=O)O,3225,C8H10O5,186.16,-0.5,83.8,235,2,5,2
T2748,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CC[C@]2(O)C(=O)CO,9050,C21H30O4,346.5,2.5,74.6,652,2,4,2
T2749,C[C@@H]1C(=O)O[C@H]2C[C@@]34[C@H]5C[C@@H](C(C)(C)C)[C@]36[C@@H](OC(=O)[C@@H]6O)O[C@@]4(C(=O)O5)[C@]21O,9909368,C20H24O9,408.4,0.6,129,893,2,9,1
T2750,C[C@@H]1C(=O)O[C@H]2[C@H](O)[C@]34[C@@H]5OC(=O)[C@]3(O[C@@H]3OC(=O)[C@H](O)[C@@]34[C@H](C(C)(C)C)[C@H]5O)[C@@]12O,9867869,C20H24O11,440.4,-1.4,169,957,4,11,1
T2751,C[C@@H]1C(=O)O[C@H]2[C@H](O)[C@@]34[C@H]5C[C@@H](C(C)(C)C)[C@]36[C@@H](OC(=O)[C@@H]6O)O[C@@]4(C(=O)O5)[C@@]12O,6324617,C20H24O10,424.4,-0.4,149,925,3,10,1
T2752,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1.O,9549172,C10H15N5O4,269.26,,120,307,4,8,2
