ID,SMILES,CID,MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
T12139,CCCCCCCCCCCCCCCC(=O)NCc1cccc(OC)c1,71765531,C24H41NO2,375.6,8.3,38.3,345,1,2,17
T13822,CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@H]1CC=C2C3=C(CC[C@@]21C)[C@@]1(C)C[C@H](O)[C@H](O)C[C@H]1C(=O)C3,441831,C27H42O6,462.6,0.9,118,889,5,6,5
T10117,CC(=O)O[C@H]1Cc2c(cc3oc(C)cc(=O)c3c2O)OC1(C)C,5315865,C17H18O6,318.32,2.7,82.1,551,1,6,2
T13516,CN1c2c([nH]c(N)nc2=O)NCC1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,135415868,C20H25N7O6,459.5,-0.5,198,865,7,10,9
T13640,C=C(CC[C@@H](C(=O)O)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)[C@@H](OC(C)=O)CC[C@]4(C)C3=CC[C@]12C)C(C)C,15250827,C33H50O4,510.7,8.3,63.6,1030,1,4,8
T11047,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(C(=O)O)C(O)C(O)C4O)cc3o2)cc1O,74977725,C22H20O12,476.4,1.1,192,801,6,12,5
T14008,Cc1c(C)c2c(c(C)c1O)CCC(C)(C)O2,99479,C14H20O2,220.31,3.6,29.5,261,1,2,0
T14148,CC(C)Oc1ccc2c(=O)c3cc(C(=O)O)ccc3oc2c1,119461,C17H14O5,298.29,3.9,72.8,446,1,5,3
T14353,Cc1ccc(C(=O)CC(C(=O)O)c2c[nH]c3ccccc23)c(C)c1,13077496,C20H19NO3,321.4,3.6,70.2,478,2,3,5
T14358,C=Cc1cc(C(=O)Nc2ccc(C(=N)N)cc2)c(-c2ccc(C(=O)NCC3CC3)nc2C(=O)O)cc1OC,86566678,C28H27N5O5,513.5,3.2,167,900,5,7,10
T10336,CC(C)c1nc2nc(N)nc(N)c2nc1C(C)C.O=P(O)(O)O,264001,C12H21N6O4P,344.31,,181,332,5,10,2
T14852,O=C1c2ccccc2C(=O)c2oc(-c3ccc(F)cc3)nc21,2307331,C17H8FNO3,293.25,3.7,60.2,475,0,5,1
T14894,C=CC(=O)Nc1cc(C)ccc1Nc1nc(Nc2cc(OC)ncc2C)ncc1C(F)(F)F,90331177,C22H21F3N6O2,458.4,4.6,101,667,3,10,7
T14913,COCCOC1CCC(Nc2cc(=O)n(C)c3ccc(-c4cncs4)cc23)CC1,118736856,C22H27N3O3S,413.5,3,91.9,594,1,6,7
T13018,Nc1nnc(Sc2ncc([N+](=O)[O-])s2)s1,11837140,C5H3N5O2S3,261.3,1.9,192,251,1,9,2
T11175,C[C@H]1OC[C@]2(c3cc(NC(=O)c4cnc(C(F)F)cn4)ccc3F)N=C(N)SC[C@H]12,57827330,C19H18F3N5O2S,437.4,1.4,128,687,2,9,4
T13681,COc1ccc2c3c1O[C@H]1C[C@H](O)C=C[C@@]31CCN(C)C2,676392,C17H21NO3,287.35,1.8,41.9,440,1,4,1
T11351,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CC[N@@+](C)([O-])C2,71587486,C17H21NO4,303.35,1.3,56.8,483,1,4,1
T11505,CN(C)S(=O)(=O)c1cc(NC(=O)CCl)ccc1Cl,3860347,C10H12Cl2N2O3S,311.18,1.8,74.9,394,1,4,4
T13164,CN1CCCC(=C(c2cccs2)c2cccs2)C1.Cl,138991192,C15H18ClNS2,311.9,,59.7,308,1,3,2
T13275,Cl.c1cc2c3c(c1)[C@H]1CCC[C@H]1CN3CCNC2,11521821,C15H21ClN2,264.79,,15.3,291,2,2,0
T10758L,Cl.c1ccc2cc([C@]34CNC[C@H]3C4)ccc2c1,68943792,C15H16ClN,245.74,,12,287,2,1,1
T10826,Cc1[nH]c2ccccc2c1CCNC(=O)c1ccccc1F,589075,C18H17FN2O,296.3,3.8,44.9,389,2,2,4
T13356,Cc1nc(N2CCN(Cc3ccc(F)cc3)C2=O)sc1C(=O)NCc1cccnc1,25095149,C21H20FN5O2S,425.5,2.5,107,618,1,6,6
T11689,CN1C(=O)c2c(nn(Cc3ccc(-c4cccc(F)n4)cc3)c2Nc2ccccc2)N2C1=N[C@@H]1CCC[C@@H]12.O=P(O)(O)O,72704434,C29H29FN7O5P,605.6,,156,953,4,10,5
